Symbol,Series,Security Name,Band,Remarks,,Check
HECPROJECT,SM,HEC Infra Projects Limited,5,-,5,0
HEXATRADEX,BE,Hexa Tradex Limited,5,-,5,0
HILTON,BE,Hilton Metal Forging Limited,5,-,5,0
HINDNATGLS,BE,Hindusthan National Glass & Industries Limited,5,-,5,0
HINDSYNTEX,BE,Hind Syntex Limited,5,-,5,0
HMT,BZ,HMT Limited,5,-,5,0
HOTELRUGBY,EQ,Hotel Rugby Limited,5,GSM - Stage I,5,0
HUBTOWN,BE,Hubtown Limited,5,-,5,0
IBREALEST,EQ,Indiabulls Real Estate Limited,5,-,5,0
IBULISL,EQ,Indiabulls Integrated Services Limited,5,-,5,0
IIFLSEC,EQ,IIFL Securities Limited,5,-,5,0
IL&FSENGG,BZ,IL&FS Engineering and Construction Company Limited,5,-,5,0
IL&FSTRANS,BZ,IL&FS Transportation Networks Limited,5,-,5,0
IMPEXFERRO,BE,Impex Ferro Tech Limited,5,GSM - Stage I,5,0
INDIANCARD,EQ,Indian Card Clothing Company Limited,5,-,5,0
INDLMETER,BE,IMP Powers Limited,5,-,5,0
INDOSOLAR,BZ,Indosolar Limited,5,-,5,0
INDOTECH,BE,Indo Tech Transformers Limited,5,-,5,0
INDOWIND,BE,Indowind Energy Limited,5,-,5,0
INNOVANA,SM,Innovana Thinklabs Limited,5,-,5,0
INTEGRA,BE,Integra Garments and Textiles Limited,5,GSM - Stage I,5,0
ISFT,EQ,Intrasoft Technologies Limited,5,-,5,0
JAIHINDPRO,BZ,Jaihind Projects Limited,5,-,5,0
JAINSTUDIO,BE,Jain Studios Limited,5,-,5,0
JALAN,SM,Jalan Transolutions (India) Limited,5,-,5,0
JAYNECOIND,EQ,Jayaswal Neco Industries Limited,5,-,5,0
JBFIND,EQ,JBF Industries Limited,5,-,5,0
JETAIRWAYS,BZ,Jet Airways (India) Limited,5,-,5,0
JETFREIGHT,SM,Jet Freight Logistics Limited,5,-,5,0
JETKNIT,SM,Jet Knitwears Limited,5,-,5,0
JIKIND,BE,JIK Industries Limited,5,GSM - Stage I,5,0
JINDCOT,BE,Jindal Cotex Limited,5,-,5,0
JISLJALEQS,EQ,Jain Irrigation Systems Limited,5,-,5,0
JITFINFRA,BE,JITF Infralogistics Limited,5,-,5,0
JIYAECO,EQ,Jiya Eco-Products Limited,5,-,5,0
JPINFRATEC,EQ,Jaypee Infratech Limited,5,-,5,0
JPOLYINVST,EQ,Jindal Poly Investment and Finance Company Limited,5,-,5,0
JPPOWER,EQ,Jaiprakash Power Ventures Limited,5,-,5,0
JUBLINDS,BE,Jubilant Industries Limited,5,-,5,0
JVLAGRO,BZ,JVL Agro Industries Limited,5,-,5,0
KAKATCEM,EQ,Kakatiya Cement Sugar & Industries Limited,5,-,5,0
KALYANI,BE,Kalyani Commercials Limited,5,-,5,0
KALYANIFRG,BE,Kalyani Forge Limited,5,-,5,0
KANANIIND,BE,Kanani Industries Limited,5,-,5,0
KARMAENG,BE,Karma Energy Limited,5,-,5,0
KAUSHALYA,BE,Kaushalya Infrastructure Development Corporation Limited,5,-,5,0
KAVVERITEL,BE,Kavveri Telecom Products Limited,5,-,5,0
KECL,EQ,Kirloskar Electric Company Limited,5,-,5,0
KEERTI,SM,Keerti Knowledge and Skills Limited,5,-,5,0
KERNEX,BE,Kernex Microsystems (India) Limited,5,-,5,0
KEYFINSERV,EQ,Keynote Financial Services Limited,5,-,5,0
KGL,BZ,Karuturi Global Limited,5,-,5,0
KHAITANLTD,BE,Khaitan (India) Limited,5,-,5,0
KHANDSE,EQ,Khandwala Securities Limited,5,-,5,0
KKVAPOW,SM,KKV Agro Powers Limited,5,-,5,0
KOHINOOR,BE,Kohinoor Foods Limited,5,-,5,0
KRIDHANINF,BE,Kridhan Infra Limited,5,-,5,0
KRISHANA,BE,Krishana Phoschem Limited,5,-,5,0
KSERASERA,BE,KSS Limited,5,-,5,0
KSK,BE,KSK Energy Ventures Limited,5,-,5,0
KWALITY,BE,kwality limited,5,-,5,0
LAGNAM,SM,Lagnam Spintex Limited,5,-,5,0
LAKPRE,BZ,Lakshmi Precision Screws Limited,5,GSM - Stage 0,5,0
LASA,BE,Lasa Supergenerics Limited,5,-,5,0
LEXUS,SM,Lexus Granito (India) Limited,5,-,5,0
LGBFORGE,BE,LGB Forge Limited,5,-,5,0
LIBAS,BE,Libas Designs Limited,5,-,5,0
LIQUIDBEES,EQ,NIPPON INDIA ETF LIQUID BEES,5,-,5,0
LYPSAGEMS,BE,Lypsa Gems & Jewellery Limited,5,-,5,0
MACPOWER,SM,Macpower CNC Machines Limited,5,-,5,0
MADHUCON,EQ,Madhucon Projects Limited,5,-,5,0
MAGNUM,EQ,Magnum Ventures Limited,5,-,5,0
MAHAPEXLTD,BE,Maha Rashtra Apex Corporation Limited,5,-,5,0
MANAKSTEEL,EQ,Manaksia Steels Limited,5,-,5,0
MANAV,SM,Manav Infra Projects Limited,5,-,5,0
MANGALAM,EQ,Mangalam Drugs And Organics Limited,5,-,5,0
MANGTIMBER,BE,Mangalam Timber Products Limited,5,-,5,0
MANUGRAPH,EQ,Manugraph India Limited,5,-,5,0
MASKINVEST,BE,Mask Investments Limited,5,GSM - Stage 0,5,0
MBAPL,BE,Madhya Bharat Agro Products Limited,5,-,5,0
MBECL,BE,Mcnally Bharat Engineering Company Limited,5,-,5,0
MCDHOLDING,BE,McDowell Holdings Limited,5,-,5,0
MDL,SM,Marvel Decor Limited,5,-,5,0
MELSTAR,BE,Melstar Information Technologies Limited,5,GSM - Stage I,5,0
MERCATOR,EQ,Mercator Limited,5,-,5,0
METALFORGE,EQ,Metalyst Forgings Limited,5,-,5,0
METKORE,BZ,Metkore Alloys & Industries Limited,5,-,5,0
MHHL,SM,Mohini Health & Hygiene Limited,5,-,5,0
MIC,BE,MIC Electronics Limited,5,GSM - Stage I,5,0
MILTON,SM,Milton Industries Limited,5,-,5,0
MIRCELECTR,EQ,MIRC Electronics Limited,5,-,5,0
MITCON,SM,MITCON Consultancy & Engineering Services Limited,5,-,5,0
MITTAL,SM,Mittal Life Style Limited,5,-,5,0
MKPL,SM,M K Proteins Limited,5,-,5,0
MODIRUBBER,BE,Modi Rubber Limited,5,-,5,0
MOHOTAIND,BE,Mohota Industries Limited,5,-,5,0
MPTODAY,SM,Madhya Pradesh Today Media Limited,5,-,5,0
MRO,IT,M.R. Organisation Limited,5,-,5,0
MSPL,EQ,MSP Steel & Power Limited,5,-,5,0
MTEDUCARE,EQ,MT Educare Limited,5,-,5,0
NAGAFERT,BE,Nagarjuna Fertilizers and Chemicals Limited,5,-,5,0
NAGREEKEXP,EQ,Nagreeka Exports Limited,5,-,5,0
NANDANI,SM,Nandani Creation Limited,5,-,5,0
NARMADA,SM,Narmada Agrobase Limited,5,-,5,0
NATNLSTEEL,BE,National Steel And Agro Industries Limited,5,-,5,0
NETWORK18,BE,Network18 Media & Investments Limited,5,-,5,0
NEXTMEDIA,EQ,Next Mediaworks Limited,5,GSM Stage I,5,0
NILASPACES,EQ,Nila Spaces Limited,5,-,5,0
NIRAJISPAT,BE,Niraj Ispat Industries Limited,5,-,5,0
NITINFIRE,BZ,Nitin Fire Protection Industries Limited,5,-,5,0
NITIRAJ,SM,Nitiraj Engineers Limited,5,-,5,0
NKIND,EQ,NK Industries Limited,5,GSM - Stage I,5,0
NORBTEAEXP,EQ,Norben Tea & Exports Limited,5,-,5,0
NTL,BE,Neueon Towers Limited,5,GSM - Stage I,5,0
OILCOUNTUB,BE,Oil Country Tubular Limited,5,-,5,0
OMKARCHEM,EQ,Omkar Speciality Chemicals Limited,5,-,5,0
ONELIFECAP,EQ,Onelife Capital Advisors Limited,5,-,5,0
ONEPOINT,EQ,One Point One Solutions Limited,5,-,5,0
ORTEL,BZ,Ortel Communications Limited,5,-,5,0
OSWALSEEDS,SM,ShreeOswal Seeds And Chemicals Limited,5,-,5,0
PAEL,BE,PAE Limited,5,-,5,0
PAISALO,EQ,Paisalo Digital Limited,5,-,5,0
PALASHSECU,BE,Palash Securities Limited,5,-,5,0
PALREDTEC,EQ,Palred Technologies Limited,5,-,5,0
PANSARI,SM,Pansari Developers Limited,5,-,5,0
PARABDRUGS,BE,Parabolic Drugs Limited,5,GSM - Stage I,5,0
PARSVNATH,BE,Parsvnath Developers Limited,5,-,5,0
PATINTLOG,EQ,Patel Integrated Logistics Limited,5,-,5,0
PATSPINLTD,BE,Patspin India Limited,5,GSM - Stage II,5,0
PDPL,BE,Parenteral Drugs (India) Limited,5,GSM - Stage I,5,0
PEARLPOLY,BE,Pearl Polymers Limited,5,-,5,0
PENINLAND,BE,Peninsula Land Limited,5,-,5,0
PENTAGOLD,SM,Penta Gold Limited,5,-,5,0
PERFECT,SM,Perfect Infraengineers Limited,5,-,5,0
PETRONENGG,BE,Petron Engineering Construction Limited,5,GSM - Stage I,5,0
PIGL,SM,Power & Instrumentation (Gujarat) Limited,5,-,5,0
PKTEA,BE,The Peria Karamalai Tea & Produce Company Limited,5,-,5,0
POKARNA,EQ,Pokarna Limited,5,-,5,0
POWERFUL,SM,Powerful Technologies Limited,5,-,5,0
PRADIP,BE,Pradip Overseas Limited,5,-,5,0
PRAKASHSTL,EQ,Prakash Steelage Limited,5,-,5,0
PRECAM,BE,Precision Camshafts Limited,5,-,5,0
PRECOT,EQ,Precot Meridian Limited,5,-,5,0
PREMIER,BE,Premier Limited,5,GSM - Stage I,5,0
PROLIFE,SM,Prolife Industries Limited,5,-,5,0
PROSEED,EQ,Proseed India Limited,5,-,5,0
PUNJLLOYD,BZ,Punj Lloyd Limited,5,-,5,0
PUSHPREALM,SM,Pushpanjali Realms and Infratech Limited,5,-,5,0
RADAAN,EQ,Radaan Mediaworks India Limited,5,-,5,0
RAJRAYON,BZ,Raj Rayon Industries Limited,5,-,5,0
RAJVIR,BE,Rajvir Industries Limited,5,GSM - Stage I,5,0
RAMSARUP,BZ,Ramsarup Industries Limited,5,GSM - Stage II,5,0
RANASUG,BE,Rana Sugars Limited,5,-,5,0
RANEENGINE,BE,Rane Engine Valve Limited,5,-,5,0
RCOM,BE,Reliance Communications Limited,5,-,5,0
REGENCERAM,BE,Regency Ceramics Limited,5,-,5,0
RELCAPITAL,EQ,Reliance Capital Limited,5,-,5,0
RELIABLE,SM,Reliable Data Services Limited,5,-,5,0
RELIGARE,EQ,Religare Enterprises Limited,5,-,5,0
REPL,SM,Rudrabhishek Enterprises Limited,5,-,5,0
RHFL,EQ,Reliance Home Finance Limited,5,-,5,0
RMCL,BE,Radha Madhav Corporation Limited,5,-,5,0
RMDRIP,SM,R M Drip and Sprinklers Systems Limited,5,-,5,0
RNAVAL,BE,Reliance Naval and Engineering Limited,5,-,5,0
ROHITFERRO,BE,Rohit Ferro-Tech Limited,5,GSM - Stage I,5,0
ROLTA,BE,Rolta India Limited,5,-,5,0
ROSSELLIND,BE,Rossell India Limited,5,-,5,0
RPOWER,EQ,Reliance Power Limited,5,-,5,0
RSSOFTWARE,EQ,R. S. Software (India) Limited,5,-,5,0
RUCHI,BE,Ruchi Soya Industries Limited,5,-,5,0
RUCHINFRA,BE,Ruchi Infrastructure Limited,5,-,5,0
SABEVENTS,EQ,Sab Events & Governance Now Media Limited,5,-,5,0
SAGARDEEP,BE,Sagardeep Alloys Limited,5,-,5,0
SAKAR,BE,Sakar Healthcare Limited,5,-,5,0
SALSTEEL,BE,S.A.L. Steel Limited,5,-,5,0
SANGAMIND,BE,Sangam (India) Limited,5,-,5,0
SANGHVIFOR,EQ,Sanghvi Forging and Engineering Limited,5,-,5,0
SANGINITA,BE,Sanginita Chemicals Limited,5,-,5,0
SARVESHWAR,SM,Sarveshwar Foods Limited,5,-,5,0
SCAPDVR,EQ,Stampede Capital Limited,5,-,5,0
SCHAND,BE,S Chand And Company Limited,5,-,5,0
SDBL,BE,Som Distilleries & Breweries Limited,5,-,5,0
SECURCRED,SM,SecUR Credentials Limited,5,-,5,0
SELMCL,BE,SEL Manufacturing Company Limited,5,-,5,0
SETUINFRA,EQ,Setubandhan Infrastructure Limited,5,-,5,0
SEYAIND,EQ,Seya Industries Limited,5,-,5,0
SEZAL,BZ,Sezal Glass Limited,5,GSM - Stage II,5,0
SGL,EQ,STL Global Limited,5,-,5,0
SHAHALLOYS,EQ,Shah Alloys Limited,5,GSM Stage I,5,0
SHIRPUR-G,BE,Shirpur Gold Refinery Limited,5,-,5,0
SHREYAS,EQ,Shreyas Shipping & Logistics Limited,5,-,5,0
SHRIPISTON,BE,Shriram Pistons & Rings Limited,5,-,5,0
SHRIRAMEPC,EQ,Shriram EPC Limited,5,-,5,0
SHYAMCENT,BE,Shyam Century Ferrous Limited,5,-,5,0
SHYAMTEL,BE,Shyam Telecom Limited,5,-,5,0
SICAL,EQ,Sical Logistics Limited,5,-,5,0
SIL,BE,Standard Industries Limited,5,-,5,0
SIMBHALS,EQ,Simbhaoli Sugars Limited,5,-,5,0
SIMPLEXINF,EQ,Simplex Infrastructures Limited,5,-,5,0
SINTEX,BE,Sintex Industries Limited,5,-,5,0
SIRCA,BE,Sirca Paints India Limited,5,-,5,0
SITINET,BE,Siti Networks Limited,5,-,5,0
SKIL,BE,SKIL Infrastructure Limited,5,-,5,0
SKSTEXTILE,SM,SKS Textiles Limited,5,-,5,0
SMPL,BZ,Splendid Metal Products Limited,5,-,5,0
SOFTTECH,SM,Softtech Engineers Limited,5,-,5,0
SORILINFRA,EQ,SORIL Infra Resources Limited,5,-,5,0
SPCENET,BE,Spacenet Enterprises India Limited,5,GSM - Stage II,5,0
SPENTEX,BE,Spentex Industries Limited,5,GSM - Stage I,5,0
SPTL,BE,Sintex Plastics Technology Limited,5,-,5,0
SPYL,BE,Shekhawati Poly-Yarn Limited,5,GSM - Stage II,5,0
SRIRAM,SM,Shri Ram Switchgears Limited,5,-,5,0
SSINFRA,SM,S.S. Infrastructure Development Consultants Limited,5,-,5,0
STAMPEDE,BE,Stampede Capital Limited,5,-,5,0
STEELXIND,BE,STEEL EXCHANGE INDIA LIMITED,5,-,5,0
STINDIA,EQ,STI India Limited,5,-,5,0
SUBCAPCITY,BE,International Constructions Limited,5,-,5,0
SUJANAUNI,BE,Sujana Universal Industries Limited,5,-,5,0
SUMEETINDS,BE,Sumeet Industries Limited,5,-,5,0
SUMICHEM,BE,Sumitomo Chemical India Limited,5,-,5,0
SUMIT,BE,Sumit Woods Limited,5,-,5,0
SUNDARAM,EQ,Sundaram Multi Pap Limited,5,-,5,0
SUPERSPIN,BE,Super Spinning Mills Limited,5,-,5,0
SUPREMEINF,BE,Supreme Infrastructure India Limited,5,-,5,0
SURANASOL,BE,Surana Solar Limited,5,-,5,0
SUREVIN,SM,Surevin BPO Services Limited,5,-,5,0
SUULD,SM,Suumaya Lifestyle Limited,5,-,5,0
SUVEN,EQ,Suven Life Sciences Limited,5,-,5,0
SYNCOM,EQ,Syncom Healthcare Limited,5,GSM - Stage I,5,0
TALWALKARS,EQ,Talwalkars Better Value Fitness Limited,5,-,5,0
TALWGYM,EQ,Talwalkars Healthclubs Limited,5,-,5,0
TANTIACONS,BE,Tantia Constructions Limited,5,-,5,0
TARAPUR,BE,Tarapur Transformers Limited,5,-,5,0
TARMAT,EQ,Tarmat Limited,5,-,5,0
TECHNOFAB,BE,Technofab Engineering Limited,5,-,5,0
TFL,BE,Transwarranty Finance Limited,5,-,5,0
TGBHOTELS,EQ,TGB Banquets And Hotels Limited,5,-,5,0
THEJO,SM,Thejo Engineering Limited,5,-,5,0
THEMISMED,BE,Themis Medicare Limited,5,-,5,0
THIRUSUGAR,BZ,Thiru Arooran Sugars Limited,5,-,5,0
THOMASCOTT,BE,Thomas Scott (India) Limited,5,GSM - Stage 0,5,0
TI,BE,Tilaknagar Industries Limited,5,-,5,0
TIJARIA,EQ,Tijaria Polypipes Limited,5,-,5,0
TIPSINDLTD,BE,TIPS Industries Limited,5,-,5,0
TIRUPATIFL,SM,Tirupati Forge Limited,5,-,5,0
TNTELE,BE,Tamilnadu Telecommunication Limited,5,GSM - Stage I,5,0
TOTAL,SM,Total Transport Systems Limited,5,-,5,0
TRANSWIND,SM,Transwind Infrastructures Limited,5,-,5,0
TVVISION,EQ,TV Vision Limited,5,-,5,0
UJAAS,EQ,Ujaas Energy Limited,5,-,5,0
UNIPLY,EQ,Uniply Industries Limited,5,-,5,0
UNITECH,BE,Unitech Limited,5,-,5,0
UNITEDPOLY,SM,United Polyfab Gujarat Limited,5,-,5,0
UNITY,BZ,Unity Infraprojects Limited,5,GSM - Stage I,5,0
URJA,BE,Urja Global Limited,5,-,5,0
UTTAMSTL,EQ,Uttam Galva Steels Limited,5,-,5,0
UVSL,EQ,Uttam Value Steels Limited,5,-,5,0
UWCSL,SM,Ultra Wiring Connectivity System Limited,5,-,5,0
VAKRANGEE,EQ,Vakrangee Limited,5,-,5,0
VARDMNPOLY,BE,Vardhman Polytex Limited,5,GSM - Stage I,5,0
VASA,SM,Vasa Retail and Overseas Ltd,5,-,5,0
VICEROY,BE,Viceroy Hotels Limited,5,GSM - Stage I,5,0
VIDEOIND,BZ,Videocon Industries Limited,5,-,5,0
VIKASMCORP,EQ,Vikas Multicorp Limited,5,-,5,0
VIPCLOTHNG,EQ,VIP Clothing Limited,5,-,5,0
VIPULLTD,BE,Vipul Limited,5,-,5,0
VISESHINFO,BE,Visesh Infotecnics Limited,5,-,5,0
VISHAL,BE,Vishal Fabrics Limited,5,-,5,0
VIVIDHA,BE,Visagar Polytex Limited,5,-,5,0
VSCL,SM,Vadivarhe Speciality Chemicals Limited,5,-,5,0
WANBURY,BE,Wanbury Limited,5,-,5,0
WEALTH,SM,Wealth First Portfolio Managers Limited,5,-,5,0
WEBELSOLAR,EQ,Websol Energy System Limited,5,-,5,0
WEIZFOREX,EQ,Weizmann Forex Limited,5,-,5,0
WEIZMANIND,EQ,Weizmann Limited,5,-,5,0
WFL,SM,Wonder Fibromats Limited,5,-,5,0
WILLAMAGOR,EQ,Williamson Magor & Company Limited,5,-,5,0
WINDMACHIN,EQ,Windsor Machines Limited,5,-,5,0
WIPL,BE,The Western India Plywoods Limited,5,-,5,0
WSI,BE,W S Industries (I) Limited,5,-,5,0
ZEEMEDIA,BE,Zee Media Corporation Limited,5,-,5,0
ZENITHBIR,EQ,Zenith Birla (India) Limited,5,GSM - Stage I,5,0
