Symbol,Series,Security Name,Band,Remarks
CALSOFT,BE,California Software Company Limited,5,"GSM Stage - I"
CAMLINFINE,EQ,Camlin Fine Sciences Limited,5,"-"
CANDC,BZ,C & C Constructions Limited,5,"GSM Stage - I"
CASTEXTECH,BE,Castex Technologies Limited,5,"GSM Stage - II"
CCCL,BE,Consolidated Construction Consortium Limited,5,"GSM Stage - II"
CGPOWER,EQ,CG Power and Industrial Solutions Limited,5,"-"
CHROMATIC,BE,Chromatic India Limited,5,"-"
CINEVISTA,BE,Cinevista Limited,5,"-"
CKPLEISURE,SM,CKP Leisure Limited,5,"-"
CLEDUCATE,BE,CL Educate Limited,5,"-"
CMMIPL,SM,CMM Infraprojects Limited,5,"-"
CNOVAPETRO,EQ,CIL Nova Petrochemicals Limited,5,"-"
CONTI,SM,Continental Seeds and Chemicals Limited,5,"-"
COUNCODOS,EQ,Country Condo's Limited,5,"-"
COX&KINGS,BZ,Cox & Kings Limited,5,"-"
CREATIVEYE,BE,Creative Eye Limited,5,"-"
CROWN,SM,Crown Lifters Limited,5,"-"
CTE,EQ,Cambridge Technology Enterprises Limited,5,"-"
DCMFINSERV,BE,Dcm Financial Services Limited,5,"-"
DGCONTENT,BE,Digicontent Limited,5,"-"
DHARSUGAR,EQ,Dharani Sugars & Chemicals Limited,5,"GSM Stage - 0"
DHFL,EQ,Dewan Housing Finance Corporation Limited,5,"-"
DIAPOWER,BZ,Diamond Power Infra Ltd,5,"GSM Stage - 0"
DIGISPICE,EQ,DiGiSPICE Technologies Limited,5,"-"
DIGJAMLTD,BZ,Digjam Limited,5,"-"
DNAMEDIA,EQ,Diligent Media Corporation Limited,5,"-"
DQE,EQ,DQ Entertainment (International) Limited,5,"-"
DRL,SM,Dhanuka Realty Limited,5,"-"
DSML,SM,Debock Sales And Marketing Limited,5,"-"
DVL,BE,Dhunseri Ventures Limited,5,"-"
E2E,SM,E2E Networks Limited,5,"-"
EASTSILK,EQ,Eastern Silk Industries Limited,5,"-"
EASUNREYRL,BZ,Easun Reyrolle Limited,5,"-"
EDELWEISS,EQ,Edelweiss Financial Services Limited,5,"-"
EDUCOMP,BZ,Educomp Solutions Limited,5,"GSM Stage - 0"
EKC,BE,Everest Kanto Cylinder Limited,5,"-"
EMAMIREAL,BE,Emami Realty Limited,5,"-"
EMCO,BZ,Emco Limited,5,"GSM Stage - 0"
EMKAYTOOLS,SM,Emkay Taps and Cutting Tools Limited,5,"-"
EROSMEDIA,BE,Eros International Media Limited,5,"-"
ESSARSHPNG,BE,Essar Shipping Limited,5,"-"
EUROMULTI,BE,Euro Multivision Limited,5,"GSM Stage - 0"
EUROTEXIND,EQ,Eurotex Industries and Exports Limited,5,"-"
EXCEL,EQ,Excel Realty N Infra Limited,5,"-"
FCONSUMER,EQ,Future Consumer Limited,5,"-"
FEL,EQ,Future Enterprises Limited,5,"-"
FELDVR,EQ,Future Enterprises Limited,5,"-"
FELIX,SM,Felix Industries Limited,5,"-"
FLEXITUFF,BE,Flexituff Ventures International Limited,5,"-"
FMGOETZE,EQ,Federal-Mogul Goetze (India) Limited.,5,"-"
FMNL,EQ,Future Market Networks Limited,5,"-"
FOCUS,SM,Focus Lighting and Fixtures Limited,5,"-"
FOURTHDIM,SZ,Fourth Dimension Solutions Limited,5,"-"
FSC,EQ,Future Supply Chain Solutions Limited,5,"-"
GAL,BE,Gyscoal Alloys Limited,5,"-"
GANESHHOUC,EQ,Ganesh Housing Corporation Limited,5,"-"
GARDENSILK,BE,Garden Silk Mills Limited,5,"-"
GAYAHWS,BE,Gayatri Highways Limited,5,"-"
GAYAPROJ,EQ,Gayatri Projects Limited,5,"-"
GBGLOBAL,BE,GB Global Limited,5,"GSM Stage - II"
GEEKAYWIRE,BE,Geekay Wires Limited,5,"-"
GENESYS,BE,Genesys International Corporation Limited,5,"-"
GFSTEELS,EQ,Grand Foundry Limited,5,"GSM Stage - I"
GICL,SM,Globe International Carriers Limited,5,"-"
GIRRESORTS,IT,GIR Natureview Resorts Limited,5,"-"
GISOLUTION,BE,GI Engineering Solutions Limited,5,"GSM Stage - II"
GLFL,EQ,Gujarat Lease Financing Limited,5,"-"
GLOBAL,SM,Global Education Limited,5,"-"
GLOBE,EQ,Globe Textiles (India) Limited,5,"-"
GLOBOFFS,BE,Global Offshore Services Limited,5,"GSM Stage - 0"
GMMPFAUDLR,EQ,GMM Pfaudler Limited,5,"-"
GODHA,SM,Godha Cabcon & Insulation Limited,5,"-"
GOENKA,BZ,Goenka Diamond and Jewels Limited,5,"-"
GOKUL,EQ,Gokul Refoils and Solvent Limited,5,"-"
GOLDSTAR,SM,Goldstar Power Limited,5,"-"
GOLDTECH,BE,Goldstone Technologies Limited,5,"-"
GPIL,EQ,Godawari Power And Ispat limited,5,"-"
GREENPANEL,EQ,Greenpanel Industries Limited,5,"-"
GRETEX,SM,Gretex Industries Limited,5,"-"
GROBTEA,BE,The Grob Tea Company Limited,5,"-"
GTL,EQ,GTL Limited,5,"-"
GTNTEX,EQ,GTN Textiles Limited,5,"-"
GUJNRECOKE,W1,Gujarat NRE Coke Limited,5,"-"
GUJRAFFIA,BE,Gujarat Raffia Industries Limited,5,"-"
GVKPIL,EQ,GVK Power & Infrastructure Limited,5,"-"
HATHWAY,BE,Hathway Cable & Datacom Limited,5,"-"
HAVISHA,BE,Sri Havisha Hospitality and Infrastructure Limited,5,"-"
HBSL,EQ,HB Stockholdings Limited,5,"-"
HDIL,BZ,Housing Development and Infrastructure Limited,5,"-"
HECPROJECT,SM,HEC Infra Projects Limited,5,"-"
HEMIPROP,BE,Hemisphere Properties India Limited,5,"-"
HEXATRADEX,BE,Hexa Tradex Limited,5,"-"
HITECHCORP,BE,Hitech Corporation Limited,5,"-"
HMT,BZ,HMT Limited,5,"-"
HOTELRUGBY,EQ,Hotel Rugby Limited,5,"-"
HOVS,EQ,HOV Services Limited,5,"-"
HTMEDIA,BE,HT Media Limited,5,"-"
ICEMAKE,EQ,Ice Make Refrigeration Limited,5,"-"
ICIL,EQ,Indo Count Industries Limited,5,"-"
IITL,BE,Industrial Investment Trust Limited,5,"-"
IL&FSENGG,BZ,IL&FS Engineering and Construction Company Limited,5,"-"
IL&FSTRANS,BZ,IL&FS Transportation Networks Limited,5,"-"
IMPEXFERRO,BE,Impex Ferro Tech Limited,5,"GSM Stage - I"
INDBANK,EQ,Indbank Merchant Banking Services Limited,5,"-"
INDLMETER,EQ,IMP Powers Limited,5,"-"
INDORAMA,EQ,Indo Rama Synthetics (India) Limited,5,"-"
INDOSOLAR,BZ,Indosolar Limited,5,"GSM Stage - II"
INDSWFTLAB,EQ,Ind-Swift Laboratories Limited,5,"-"
INFOBEAN,EQ,InfoBeans Techno. Ltd.,5,"-"
INFOMEDIA,BE,Infomedia Press Limited,5,"GSM Stage - II"
INNOVANA,SM,Innovana Thinklabs Limited,5,"-"
INNOVATIVE,SM,Innovative Tyres and Tubes Limited,5,"-"
INSPIRISYS,EQ,Inspirisys Solutions Limited,5,"-"
INTEGRA,BE,Integra Garments and Textiles Limited,5,"GSM Stage - I"
INTELLECT,EQ,Intellect Design Arena Limited,5,"-"
INTENTECH,EQ,Intense Technologies Limited,5,"-"
ISFT,EQ,Intrasoft Technologies Limited,5,"-"
ISMTLTD,BE,ISMT Limited,5,"-"
IVC,BE,IL&FS Investment Managers Limited,5,"-"
IZMO,EQ,IZMO Limited,5,"-"
JAIHINDPRO,BZ,Jaihind Projects Limited,5,"-"
JAINSTUDIO,BZ,Jain Studios Limited,5,"-"
JALAN,SM,Jalan Transolutions (India) Limited,5,"-"
JAYNECOIND,BE,Jayaswal Neco Industries Limited,5,"-"
JBFIND,EQ,JBF Industries Limited,5,"-"
JETAIRWAYS,BZ,Jet Airways (India) Limited,5,"-"
JETFREIGHT,SM,Jet Freight Logistics Limited,5,"-"
JETKNIT,SM,Jet Knitwears Limited,5,"-"
JHS,BE,JHS Svendgaard Laboratories Limited,5,"-"
JIKIND,BE,JIK Industries Limited,5,"GSM Stage - II"
JITFINFRA,BE,JITF Infralogistics Limited,5,"GSM Stage - I"
JMTAUTOLTD,EQ,JMT Auto Limited,5,"-"
JPASSOCIAT,EQ,Jaiprakash Associates Limited,5,"-"
JPOLYINVST,EQ,Jindal Poly Investment and Finance Company Limited,5,"-"
JYOTISTRUC,BZ,Jyoti Structures Limited,5,"-"
KALYANI,BE,Kalyani Commercials Limited,5,"-"
KALYANIFRG,BE,Kalyani Forge Limited,5,"-"
KANANIIND,EQ,Kanani Industries Limited,5,"-"
KARDA,BE,Karda Constructions Limited,5,"-"
KAUSHALYA,BE,Kaushalya Infrastructure Development Corporation Limited,5,"-"
KEERTI,SM,Keerti Knowledge and Skills Limited,5,"-"
KELLTONTEC,EQ,Kellton Tech Solutions Limited,5,"-"
KERNEX,BE,Kernex Microsystems (India) Limited,5,"-"
KGL,BZ,Karuturi Global Limited,5,"-"
KILITCH,BE,Kilitch Drugs (India) Limited,5,"-"
KIOCL,EQ,KIOCL Limited,5,"-"
KKVAPOW,SM,KKV Agro Powers Limited,5,"-"
KOPRAN,EQ,Kopran Limited,5,"-"
KRISHANA,BE,Krishana Phoschem Limited,5,"-"
KSERASERA,BZ,KSS Limited,5,"-"
KSK,EQ,KSK Energy Ventures Limited,5,"GSM Stage - 0"
KSOLVES,SM,Ksolves India Limited,5,"-"
KWALITY,EQ,kwality limited,5,"-"
LAGNAM,SM,Lagnam Spintex Limited,5,"-"
LAKPRE,BZ,Lakshmi Precision Screws Limited,5,"GSM Stage - 0"
LATTEYS,SM,Latteys Industries Limited,5,"-"
LEXUS,SM,Lexus Granito (India) Limited,5,"-"
LFIC,EQ,Lakshmi Finance & Industrial Corporation Limited,5,"-"
LIKHITHA,BE,Likhitha Infrastructure Limited,5,"-"
LIQUIDBEES,EQ,NIPPON INDIA ETF LIQUID BEES,5,"-"
LPDC,BE,Landmark Property Development Company Limited,5,"-"
MADHUCON,BE,Madhucon Projects Limited,5,"-"
MAGNUM,EQ,Magnum Ventures Limited,5,"GSM Stage - I"
MAHAPEXLTD,BE,Maha Rashtra Apex Corporation Limited,5,"-"
MAHESHWARI,BE,Maheshwari Logistics Limited,5,"-"
MAJESCO,EQ,Majesco Limited,5,"-"
MANAKALUCO,EQ,Manaksia Aluminium Company Limited,5,"-"
MANAKSTEEL,EQ,Manaksia Steels Limited,5,"-"
MANAV,SM,Manav Infra Projects Limited,5,"-"
MANGALAM,EQ,Mangalam Drugs And Organics Limited,5,"-"
MANGTIMBER,EQ,Mangalam Timber Products Limited,5,"GSM Stage - 0"
MANUGRAPH,EQ,Manugraph India Limited,5,"-"
MARSHALL,SM,Marshall Machines Limited,5,"-"
MASKINVEST,BE,Mask Investments Limited,5,"GSM Stage - II"
MBAPL,BE,Madhya Bharat Agro Products Limited,5,"-"
MBECL,BE,Mcnally Bharat Engineering Company Limited,5,"-"
MBLINFRA,EQ,MBL Infrastructures Limited,5,"-"
MCLEODRUSS,BE,Mcleod Russel India Limited,5,"-"
MDL,SM,Marvel Decor Limited,5,"-"
MEGASOFT,BE,Megasoft Limited,5,"-"
MELSTAR,BZ,Melstar Information Technologies Limited,5,"GSM Stage - 0"
MERCATOR,EQ,Mercator Limited,5,"-"
METALFORGE,BE,Metalyst Forgings Limited,5,"GSM Stage - 0"
METKORE,BZ,Metkore Alloys & Industries Limited,5,"-"
MHHL,SM,Mohini Health & Hygiene Limited,5,"-"
MIC,BE,MIC Electronics Limited,5,"GSM Stage - I"
MILTON,SM,Milton Industries Limited,5,"-"
MINDTECK,BE,Mindteck (India) Limited,5,"-"
MIRCELECTR,EQ,MIRC Electronics Limited,5,"-"
MITCON,SM,MITCON Consultancy & Engineering Services Limited,5,"-"
MITTAL,EQ,Mittal Life Style Limited,5,"-"
MKPL,SM,M K Proteins Limited,5,"-"
MODIRUBBER,BE,Modi Rubber Limited,5,"-"
MOHITIND,EQ,Mohit Industries Limited,5,"-"
MPTODAY,SM,Madhya Pradesh Today Media Limited,5,"-"
MRO,IT,M.R. Organisation Limited,5,"-"
MRO-TEK,EQ,MRO-TEK Realty Limited,5,"GSM Stage - 0"
MSPL,EQ,MSP Steel & Power Limited,5,"-"
MUKANDLTD,EQ,Mukand Limited,5,"-"
NAGREEKCAP,EQ,Nagreeka Capital & Infrastructure Limited,5,"-"
NANDANI,SM,Nandani Creation Limited,5,"-"
NARMADA,SM,Narmada Agrobase Limited,5,"-"
NATNLSTEEL,BE,National Steel And Agro Industries Limited,5,"GSM Stage - I"
NDL,BE,Nandan Denim Limited,5,"-"
NEXTMEDIA,EQ,Next Mediaworks Limited,5,"GSM Stage - I"
NIBL,EQ,NRB Industrial Bearings Limited,5,"GSM Stage - 0"
NIRAJ,BE,Niraj Cement Structurals Limited,5,"-"
NIRAJISPAT,BE,Niraj Ispat Industries Limited,5,"-"
NITINFIRE,BZ,Nitin Fire Protection Industries Limited,5,"-"
NITIRAJ,SM,Nitiraj Engineers Limited,5,"-"
NKIND,EQ,NK Industries Limited,5,"-"
NOIDATOLL,BE,Noida Toll Bridge Company Limited,5,"-"
NORBTEAEXP,BE,Norben Tea & Exports Limited,5,"-"
NTL,BE,Neueon Towers Limited,5,"-"
NUCLEUS,EQ,Nucleus Software Exports Limited,5,"-"
OISL,EQ,OCL Iron and Steel Limited,5,"-"
OMAXE,EQ,Omaxe Limited,5,"-"
OMFURN,SM,Omfurn India Limited,5,"-"
OMKARCHEM,EQ,Omkar Speciality Chemicals Limited,5,"GSM Stage - 0"
ONELIFECAP,EQ,Onelife Capital Advisors Limited,5,"-"
OPTIEMUS,EQ,Optiemus Infracom Limited,5,"-"
OPTOCIRCUI,EQ,Opto Circuits (India) Limited,5,"-"
ORIENTALTL,EQ,Oriental Trimex Limited,5,"-"
ORIENTLTD,EQ,Orient Press Limited,5,"-"
ORTEL,BZ,Ortel Communications Limited,5,"-"
ORTINLABSS,EQ,Ortin Laboratories Limited,5,"-"
OSWALAGRO,EQ,Oswal Agro Mills Limited,5,"-"
OSWALSEEDS,SM,ShreeOswal Seeds And Chemicals Limited,5,"-"
PAEL,EQ,PAE Limited,5,"-"
PALASHSECU,EQ,Palash Securities Limited,5,"-"
PALREDTEC,BE,Palred Technologies Limited,5,"-"
PANACHE,EQ,Panache Digilife Limited,5,"-"
PANSARI,SM,Pansari Developers Limited,5,"-"
PARABDRUGS,BZ,Parabolic Drugs Limited,5,"-"
PARSVNATH,EQ,Parsvnath Developers Limited,5,"-"
PATSPINLTD,EQ,Patspin India Limited,5,"-"
PEARLPOLY,EQ,Pearl Polymers Limited,5,"-"
PENINLAND,EQ,Peninsula Land Limited,5,"-"
PENTAGOLD,SM,Penta Gold Limited,5,"-"
PERFECT,SM,Perfect Infraengineers Limited,5,"-"
PGEL,BE,PG Electroplast Limited,5,"-"
PIGL,SM,Power & Instrumentation (Gujarat) Limited,5,"-"
PKTEA,BE,The Peria Karamalai Tea & Produce Company Limited,5,"-"
POWERFUL,SM,Powerful Technologies Limited,5,"-"
PRADIP,EQ,Pradip Overseas Limited,5,"GSM Stage - I"
PRAXIS,BE,Praxis Home Retail Limited,5,"-"
PRECOT,BE,Precot Meridian Limited,5,"-"
PREMEXPLN,EQ,Premier Explosives Limited,5,"-"
PREMIER,BE,Premier Limited,5,"-"
PRICOLLTD,EQ,Pricol Limited,5,"-"
PROLIFE,SM,Prolife Industries Limited,5,"-"
PROSEED,BE,Proseed India Limited,5,"GSM Stage - II"
PULZ,SM,Pulz Electronics Limited,5,"-"
PUNJLLOYD,BZ,Punj Lloyd Limited,5,"GSM Stage - 0"
PUSHPREALM,SZ,Pushpanjali Realms and Infratech Limited,5,"-"
RADAAN,BE,Radaan Mediaworks India Limited,5,"GSM Stage - II"
RAJRAYON,BZ,Raj Rayon Industries Limited,5,"GSM Stage - I"
RAMASTEEL,BE,Rama Steel Tubes Limited,5,"-"
RAMCOSYS,EQ,Ramco Systems Limited,5,"-"
RAMSARUP,BZ,Ramsarup Industries Limited,5,"GSM Stage - I"
RANASUG,BE,Rana Sugars Limited,5,"-"
RCOM,BE,Reliance Communications Limited,5,"-"
RELIABLE,SM,Reliable Data Services Limited,5,"-"
RELINFRA,EQ,Reliance Infrastructure Limited,5,"-"
RENUKA,EQ,Shree Renuka Sugars Limited,5,"-"
REPL,SM,Rudrabhishek Enterprises Limited,5,"-"
RMCL,BE,Radha Madhav Corporation Limited,5,"-"
RNAVAL,EQ,Reliance Naval and Engineering Limited,5,"-"
ROHITFERRO,BE,Rohit Ferro-Tech Limited,5,"GSM Stage - 0"
ROHLTD,BE,Royal Orchid Hotels Limited,5,"-"
ROLLT,BE,Rollatainers Limited,5,"-"
ROLTA,EQ,Rolta India Limited,5,"-"
ROML,BZ,Raj Oil Mills Limited,5,"-"
ROSSELLIND,EQ,Rossell India Limited,5,"-"
RPPL,SM,Rajshreepolypack Limited,5,"-"
RSSOFTWARE,EQ,R. S. Software (India) Limited,5,"-"
RSWM,BE,RSWM Limited,5,"-"
RTNINFRA,EQ,RattanIndia Infrastructure Limited,5,"-"
RTNPOWER,EQ,RattanIndia Power Limited,5,"-"
RUCHI,BE,Ruchi Soya Industries Limited,5,"-"
RUCHINFRA,BE,Ruchi Infrastructure Limited,5,"-"
SABEVENTS,BE,Sab Events & Governance Now Media Limited,5,"-"
SABTN,EQ,Sri Adhikari Brothers Television Network Limited,5,"GSM Stage - I"
SAGARDEEP,BE,Sagardeep Alloys Limited,5,"-"
SALASAR,EQ,Salasar Techno Engineering Limited,5,"-"
SAMBHAAV,EQ,Sambhaav Media Limited,5,"-"
SANGHVIFOR,BE,Sanghvi Forging and Engineering Limited,5,"GSM Stage - 0"
SANWARIA,BZ,Sanwaria Consumer Limited,5,"-"
SARVESHWAR,SM,Sarveshwar Foods Limited,5,"-"
SATIN,EQ,Satin Creditcare Network Limited,5,"-"
SATINPP,E1,Satin Creditcare Network Limited,5,"-"
SCAPDVR,BE,Stampede Capital Limited,5,"-"
SCHAND,EQ,S Chand And Company Limited,5,"-"
SECURCRED,SM,SecUR Credentials Limited,5,"-"
SELMCL,BZ,SEL Manufacturing Company Limited,5,"-"
SEPOWER,EQ,S.E. Power Limited,5,"-"
SERVOTECH,SM,Servotech Power Systems Limited,5,"-"
SETCO,BE,Setco Automotive Limited,5,"-"
SEZAL,BZ,Sezal Glass Limited,5,"GSM Stage - II"
SHAKTIPUMP,BE,Shakti Pumps (India) Limited,5,"-"
SHANTI,SM,Shanti Overseas (India) Limited,5,"-"
SHIVAMAUTO,EQ,Shivam Autotech Limited,5,"-"
SHIVATEX,EQ,Shiva Texyarn Limited,5,"-"
SHRADHA,EQ,Shradha Infraprojects Limited,5,"-"
SHREERAMA,EQ,Shree Rama Multi-Tech Limited,5,"-"
SHRENIK,EQ,Shrenik Limited,5,"-"
SHREYAS,BE,Shreyas Shipping & Logistics Limited,5,"-"
SHRIPISTON,BE,Shriram Pistons & Rings Limited,5,"-"
SHUBHLAXMI,SM,Shubhlaxmi Jewel Art Limited,5,"-"
SHYAMCENT,EQ,Shyam Century Ferrous Limited,5,"-"
SHYAMTEL,EQ,Shyam Telecom Limited,5,"GSM Stage - 0"
SIGMA,ST,Sigma Solve Limited,5,"-"
SIL,BE,Standard Industries Limited,5,"-"
SIMBHALS,EQ,Simbhaoli Sugars Limited,5,"-"
SINTERCOM,EQ,Sintercom India Limited,5,"-"
SINTEX,BE,Sintex Industries Limited,5,"-"
SITINET,EQ,Siti Networks Limited,5,"-"
SKSTEXTILE,SM,SKS Textiles Limited,5,"-"
SMPL,BZ,Splendid Metal Products Limited,5,"GSM Stage - II"
SMVD,SM,SMVD Poly Pack Limited,5,"-"
SOFTTECH,SM,Softtech Engineers Limited,5,"-"
SOMATEX,BE,Soma Textiles & Industries Limited,5,"-"
SONISOYA,SM,Soni Soya Products Limited,5,"-"
SOUTHWEST,EQ,South West Pinnacle Exploration Limited,5,"-"
SPCENET,EQ,Spacenet Enterprises India Limited,5,"GSM Stage - I"
SPENTEX,BZ,Spentex Industries Limited,5,"GSM Stage - I"
SPTL,EQ,Sintex Plastics Technology Limited,5,"-"
SPYL,BE,Shekhawati Poly-Yarn Limited,5,"GSM Stage - II"
SRIRAM,SM,Shri Ram Switchgears Limited,5,"-"
SSINFRA,SM,S.S. Infrastructure Development Consultants Limited,5,"-"
S&SPOWER,EQ,S&S Power Switchgears Limited,5,"-"
STINDIA,BZ,STI India Limited,5,"-"
SUBCAPCITY,BE,International Constructions Limited,5,"-"
SUJANAUNI,BE,Sujana Universal Industries Limited,5,"GSM Stage - I"
SUMEETINDS,EQ,Sumeet Industries Limited,5,"GSM Stage - 0"
SUPERSPIN,EQ,Super Spinning Mills Limited,5,"-"
SUPREMEINF,BZ,Supreme Infrastructure India Limited,5,"-"
SURANI,SM,Surani Steel Tubes Limited,5,"-"
SUULD,EQ,Suumaya Lifestyle Limited,5,"-"
SWELECTES,BE,Swelect Energy Systems Limited,5,"-"
SYNCOM,BZ,Syncom Healthcare Limited,5,"-"
TANLA,EQ,Tanla Solutions Limited,5,"-"
TANTIACONS,BE,Tantia Constructions Limited,5,"GSM Stage - 0"
TATACOMM,EQ,Tata Communications Limited,5,"-"
TCIFINANCE,EQ,Tci Finance Limited,5,"-"
TECHIN,EQ,Techindia Nirman Limited,5,"-"
TECHNOFAB,BE,Technofab Engineering Limited,5,"-"
TEJASNET,EQ,Tejas Networks Limited,5,"-"
TFL,EQ,Transwarranty Finance Limited,5,"-"
TGBHOTELS,EQ,TGB Banquets And Hotels Limited,5,"-"
THEJO,SM,Thejo Engineering Limited,5,"-"
THIRUSUGAR,BZ,Thiru Arooran Sugars Limited,5,"-"
THOMASCOTT,BE,Thomas Scott (India) Limited,5,"GSM Stage - 0"
TIRUPATI,SM,Shree Tirupati Balajee FIBC Limited,5,"-"
TNTELE,BE,Tamilnadu Telecommunication Limited,5,"GSM Stage - I"
TRANSWIND,SM,Transwind Infrastructures Limited,5,"-"
TREEHOUSE,EQ,Tree House Education & Accessories Limited,5,"-"
TREJHARA,EQ,TREJHARA SOLUTIONS LIMITED,5,"-"
TRF,EQ,TRF Limited,5,"GSM Stage - 0"
TVVISION,EQ,TV Vision Limited,5,"GSM Stage - I"
UMESLTD,EQ,Usha Martin Education & Solutions Limited,5,"GSM Stage - I"
UNIINFO,SM,Uniinfo Telecom Services Limited,5,"-"
UNITECH,BZ,Unitech Limited,5,"-"
UNITEDPOLY,SM,United Polyfab Gujarat Limited,5,"-"
UNITY,BZ,Unity Infraprojects Limited,5,"GSM Stage - I"
UNIVPHOTO,BE,Universus Photo Imagings Limited,5,"-"
URJA,EQ,Urja Global Limited,5,"-"
UTTAMSTL,EQ,Uttam Galva Steels Limited,5,"-"
UVSL,EQ,Uttam Value Steels Limited,5,"-"
UWCSL,SM,Ultra Wiring Connectivity System Limited,5,"-"
V2RETAIL,EQ,V2 Retail Limited,5,"-"
VASA,SM,Vasa Retail and Overseas Ltd,5,"-"
VASWANI,EQ,Vaswani Industries Limited,5,"-"
VENUSREM,BE,Venus Remedies Limited,5,"-"
VERA,SM,Vera Synthetic Limited,5,"-"
